id,댓글,공감수
1,  영화관에서 영화보러갔다가 광고보고 반한 1인 ,3
1,  삼성은 이거 해외에도 광고내라... ,3
1,  이 광고 제작 관계자들 상 줘야한다. 스페인 현지에서 광고보내면 제품 조기품절될 듯 ,3
1,  LA CASA AZUL - Podría Ser Peor ,3
1,  한국에서 찍은 이국적인 광고...ㄷㄷㄷ ,3
1,  뭔가 시계도 패션이라는게 잘 나타나는 광고임... 계속 보게되넹 ,3
1,  이건 아무리봐도 외국에서 진짜 먹힐것같다 수십번 돌려보는것 같은데 볼때마다 너무 힙해 ,3
1,  이거 광고 개잘만듦...영화관에서 광고가 눈에 띄다니 ,3
1,"  영화관 들어가서 자리로 올라가는데 노래가 순간너무좋아서 멍하니 서서 ""와..뭐지 이노래?"" 하고 검색하러왔는데 나만그런게아니였어...대박... ",3
1,  갤럭시만 써오면서 삼성광고 봐온 바로는.. 텍스트 우겨넣으면서 기능강조만 해대는 경우가 많았는데  이번 광고는 보여지는 이미지에 엄청 신경썼네요.  비주얼로나 배경음 선택으로 보나 역대 삼성광고 중 가장 힙한것 같습니다. ,3
1,  댓글 잘 안 남기는데.. 6년차 앱등이 처음으로 삼성 구매 욕구 생기게 한 광고. 역대 삼성 광고 중 최고다. ,3
1,  여기가 한국의 파리입니까? ,3
1,  핑크자켓입은 모델 @uu_milan 앞머리있는 모델 @__sellina 남자 모델 @_1baniban ,3
1,"  저 애플워치4쓰는 사람이지만 근 5년안에 본 광고중에 제일 잘만들었단 생각이드는 광고에요. 한국적인게 가장 세계적이란 느낌?  음악,색감,연출,홍보성 모든면에서 완벽한 광고라 생각됨. 빨간 옷과, 카페의 빨간대야(김치담글때 많이쓰는)로만든 의자.. 한국적인 빨간색의 이미지 교차. 정말 입이 벌어질 만한 연출력... 1분도 안되는 영상인데, 2시간을 본 영화보다 기억에 남습니다. ",3
1,  가고있어        마포대교로 ,3
1,  역대급 광고다 저런거 돈주고 왜사냐하는 아재인데 광고보고 사고싶어졌다 역시갓성 ,3
1,  삼성형 앞으로 이렇게 부탁해 나 아이폰인데 이거따문에 폰 바꾸고싶자너 ,3
