최저가,품목,밴드형태,네트워크,화면크기,해상도,화면종류,화면,블루투스버전,내장OS,호환가능OS,--,--,램,내장메모리,--,항목,--,--,건강관리,--,--,부가기능,방수기능,--,사용시간,--,--,배터리종류,배터리용량,재질,무게,--,--,--,--,--,--,--,--
316360,스마트워치,밴드교체형,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS9.0이상",,,768M,4G내장,,"SNS, 문자, 전화",,,"스트레스모니터링, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, 자이로센서, NFC, 무선충전",생활방수(IP68),,"평균 60시간,최대 131시간",,,배터리일체형,330mAh,스테인리스스틸,42g,,,,,,,,
192750,스마트워치,무선랜(WiFi),"1.2""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS5.0이상",768M,4G내장,,"SNS, 문자, 전화",,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"원격촬영, 음성명령, 화면테마설정",,,"평균 43시간,최대 95시간",,,배터리일체형,247mAh,알루미늄,26g,,,,,,,,,,,
255850,스마트워치,밴드교체형,무선랜(WiFi),전화통화,블루투스,iOS,듀얼코어,8G내장,,"일정, 문자, 전화",,,"스트레스모니터링, 일일활동량측정, 이동거리측정, 달리기, 심박측정, 칼로리측정, 운동정보기록, 운동코칭",,,"심박센서, GPS, SOS안심서비스, 고도센서, 기압센서",방수(최대50m),,18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
529170,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
120690,스마트워치,"1.65""",AM-OLED,블루투스5.0,,,"달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 칼로리측정, 수면패턴분석, 만보계, 스키",,,"기온, 날짜,요일표시, GPS, 날씨, 화면테마설정",방수(5ATM),,14일,,,배터리일체형,220mAh,24.8g,,,,,,,,,,,,,,,,,,,,,
130890,스마트워치,"1.39""",454x454,AM-OLED,블루투스5.0,,"일정, 알람, 문자, 전화",,,"달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 칼로리측정, 운동정보기록, 스트레칭알림",,,"GPS, 내휴대폰찾기, 날씨, 스톱워치, 가속계센서, NFC, 나침반센서, 기압센서",방수(5ATM),,24일,,,배터리일체형,410mAh,48g,,,,,,,,,,,,,,,,,,
234480,스마트워치,무선랜(WiFi),"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS5.0이상",768M,4G내장,,"SNS, 문자, 전화",,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"원격촬영, 음성명령",,,"평균 60시간,최대 131시간",,,배터리일체형,340mAh,알루미늄,30g,,,,,,,,,,,
399290,스마트워치,무선랜(WiFi),360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,"안드로이드5.0, iOS9.0이상",,,"1.15GHz, 듀얼코어",4G내장,,"문자, 전화",,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 골프",,,"GPS, 항상화면켜짐, 화면테마설정, NFC, 무선충전, 원격촬영(iOS미지원), 스마트 캐디앱",생활방수(IP68),,"평균 60시간,최대 131시간",,,247mAh,30g,,,,,,,,,,,,,
187670,스마트워치,밴드교체형,무선랜(WiFi),"1.3""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.2,타이젠,"1.15GHz, 듀얼코어",768M,4G내장,"스트레스모니터링, 호흡가이드, 달리기, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석",,,"심박센서, GPS, 날씨, 일정관리, 자이로센서, NFC, 고도센서, 기압센서, 속도계","생활방수(IP68), 방수(5ATM)",,"평균 80시간,최대 168시간",16시간,,배터리일체형,472mAh,실버,63g,,,,,,,,,,,,,,
474890,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,블루투스5.0,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,,,,
